Year Month Day Hour Minute Second VelocityX VelocityY Level StdError1 StdError2 StdError3 SNR1 SNR2 SNR3 SignalAmp1 SignalAmp2 SignalAmp3 Noise1 Noise2 Noise3 IceDetection Heading Pitch Roll StdDevHeading StdDevPitch StdDevRoll Temperature Pressure StdDevPressure Voltage CellBegin CellEnd Speed Direction Area Flow 
2019 07 30 10 38 27    35.5    -7.5   0.944   0.3   0.1   0.0  31.4  26.7   0.0 106  94   0  33  32  30   0  255.4   4.0  -2.4  0.0  0.0  0.0  14.07     0.9307    0.004  13.8   1.5 119.5   36.28   101.9      -1.0000       0.0000
2019 07 30 10 40 27    34.9    -7.5   0.945   0.3   0.1   0.0  31.4  27.1   0.0 106  94   0  33  31  29   0  255.4   4.0  -2.4  0.0  0.0  0.0  14.07     0.9311    0.004  13.8   1.5 119.5   35.70   102.1      -1.0000       0.0000
2019 07 30 10 42 27    34.4    -7.8   0.941   0.3   0.1   0.0  31.4  26.2   0.0 106  93   0  33  32  28   0  255.4   4.0  -2.4  0.0  0.0  0.0  14.06     0.9275    0.003  13.8   1.5 119.5   35.27   102.8      -1.0000       0.0000
2019 07 30 10 44 27    35.3    -7.5   0.941   0.3   0.1   0.0  31.4  26.7   0.0 106  94   0  33  32  29   0  255.4   4.0  -2.4  0.0  0.0  0.0  14.06     0.9264    0.003  13.8   1.5 119.5   36.09   102.0      -1.0000       0.0000
2019 07 30 10 46 27    34.3    -8.6   0.940   0.3   0.1   0.0  31.0  26.2   0.0 105  93   0  33  32  30   0  255.5   4.0  -2.4  0.0  0.0  0.0  14.06     0.9264    0.003  13.8   1.5 119.5   35.36   104.1      -1.0000       0.0000
2019 07 30 10 48 27    35.6    -7.9   0.940   0.3   0.1   0.0  31.8  26.7   0.0 106  94   0  32  32  29   0  255.4   4.0  -2.4  0.0  0.0  0.0  14.06     0.9260    0.002  13.8   1.5 119.5   36.47   102.5      -1.0000       0.0000
2019 07 30 10 50 27    35.1    -7.5   0.940   0.3   0.1   0.0  31.4  26.2   0.0 106  93   0  33  32  29   0  255.4   4.0  -2.4  0.0  0.0  0.0  14.06     0.9260    0.002  13.6   1.5 119.5   35.89   102.1      -1.0000       0.0000
2019 07 30 10 52 27    36.3    -7.8   0.940   0.3   0.1   0.0  31.0  26.2   0.0 105  93   0  33  32  30   0  255.4   4.0  -2.4  0.0  0.0  0.0  14.06     0.9256    0.002  13.2   1.5 119.5   37.13   102.1      -1.0000       0.0000
2019 07 30 10 54 27    35.2    -7.4   0.937   0.3   0.1   0.0  31.4  27.1   0.0 106  94   0  33  31  29   0  255.5   4.0  -2.4  0.0  0.0  0.0  14.06     0.9248    0.002  13.8   1.5 119.5   35.97   101.9      -1.0000       0.0000
2019 07 30 10 56 27    34.9    -7.5   0.938   0.3   0.1   0.0  31.4  26.7   0.0 106  94   0  33  32  29   0  255.4   4.0  -2.4  0.0  0.0  0.0  14.06     0.9240    0.002  13.8   1.5 119.5   35.70   102.1      -1.0000       0.0000
2019 07 30 10 58 27    35.6    -7.3   0.937   0.3   0.1   0.0  31.4  26.2   0.0 106  93   0  33  32  29   0  255.4   4.0  -2.4  0.0  0.0  0.0  14.06     0.9224    0.003  13.8   1.5 119.5   36.34   101.6      -1.0000       0.0000
2019 07 30 11 00 27    35.9    -7.6   0.937   0.3   0.1   0.0  31.0  26.2   0.0 105  93   0  33  32  29   0  255.5   4.0  -2.4  0.0  0.0  0.0  14.06     0.9228    0.003  13.6   1.5 119.5   36.70   102.0      -1.0000       0.0000
2019 07 30 11 02 27    36.0    -7.5   0.939   0.3   0.1   0.0  31.4  26.7   0.0 106  93   0  33  31  29   0  255.4   4.0  -2.4  0.0  0.0  0.0  14.06     0.9232    0.002  13.6   1.5 119.5   36.77   101.8      -1.0000       0.0000
2019 07 30 11 04 27    35.3    -7.9   0.938   0.3   0.1   0.0  31.0  26.7   0.0 105  93   0  33  31  29   0  255.4   4.0  -2.4  0.0  0.0  0.0  14.06     0.9224    0.003  13.2   1.5 119.5   36.17   102.6      -1.0000       0.0000
2019 07 30 11 06 27    35.9    -7.6   0.939   0.3   0.1   0.0  31.0  26.2   0.0 105  93   0  33  32  29   0  255.4   4.0  -2.4  0.0  0.0  0.0  14.07     0.9216    0.003  13.6   1.5 119.5   36.70   102.0      -1.0000       0.0000
2019 07 30 11 08 27    35.5    -7.2   0.937   0.3   0.1   0.0  31.4  26.7   0.0 106  93   0  33  31  29   0  255.4   4.0  -2.4  0.0  0.0  0.0  14.07     0.9212    0.003  13.8   1.5 119.5   36.22   101.5      -1.0000       0.0000
2019 07 30 11 10 27    34.9    -7.3   0.934   0.3   0.1   0.0  31.8  27.1   0.0 106  94   0  32  31  29   0  255.4   4.0  -2.4  0.0  0.0  0.0  14.07     0.9180    0.003  13.8   1.5 119.5   35.66   101.8      -1.0000       0.0000
2019 07 30 11 12 27    36.3    -7.0   0.934   0.3   0.1   0.0  31.8  26.7   0.0 106  94   0  32  32  29   0  255.5   4.0  -2.4  0.0  0.0  0.0  14.07     0.9165    0.003  13.8   1.5 119.5   36.97   100.9      -1.0000       0.0000
2019 07 30 11 14 27    36.7    -7.3   0.934   0.3   0.1   0.0  31.4  27.1   0.0 106  94   0  33  31  29   0  255.5   4.0  -2.4  0.0  0.0  0.0  14.07     0.9173    0.003  13.8   1.5 119.5   37.42   101.2      -1.0000       0.0000
2019 07 30 11 16 27    36.3    -7.0   0.934   0.3   0.1   0.0  31.4  26.7   0.0 106  94   0  33  32  29   0  255.4   4.0  -2.4  0.0  0.0  0.0  14.07     0.9157    0.003  13.8   1.5 119.5   36.97   100.9      -1.0000       0.0000
2019 07 30 11 18 27    34.5    -7.1   0.934   0.3   0.1   0.0  31.4  26.7   0.0 106  94   0  33  32  29   0  255.4   4.0  -2.4  0.0  0.0  0.0  14.07     0.9169    0.003  13.8   1.5 119.5   35.22   101.6      -1.0000       0.0000
2019 07 30 11 20 27    35.6    -7.6   0.936   0.2   0.1   0.0  31.4  26.7   0.0 106  94   0  33  32  29   0  255.4   4.0  -2.4  0.0  0.0  0.0  14.07     0.9153    0.003  13.8   1.5 119.5   36.40   102.1      -1.0000       0.0000
2019 07 30 11 22 27    36.0    -7.7   0.934   0.3   0.1   0.0  31.8  27.1   0.0 106  94   0  32  31  29   0  255.3   4.0  -2.4  0.0  0.0  0.0  14.07     0.9145    0.003  13.8   1.5 119.5   36.81   102.1      -1.0000       0.0000
2019 07 30 11 24 27    36.2    -8.0   0.936   0.3   0.1   0.0  31.4  27.1   0.0 106  94   0  33  31  29   0  255.4   4.0  -2.4  0.0  0.0  0.0  14.08     0.9145    0.003  13.8   1.5 119.5   37.07   102.5      -1.0000       0.0000
2019 07 30 11 26 27    36.6    -7.3   0.934   0.3   0.1   0.0  31.4  27.1   0.0 106  94   0  33  31  30   0  255.4   4.0  -2.4  0.0  0.0  0.0  14.08     0.9141    0.003  13.6   1.5 119.5   37.32   101.3      -1.0000       0.0000
2019 07 30 11 28 27    37.4    -6.5   0.935   0.3   0.1   0.0  31.4  26.7   0.0 106  94   0  33  32  29   0  255.4   4.0  -2.4  0.0  0.0  0.0  14.08     0.9141    0.003  13.6   1.5 119.5   37.96    99.9      -1.0000       0.0000
2019 07 30 11 30 27    36.2    -7.7   0.934   0.3   0.1   0.0  31.4  27.1   0.0 106  94   0  33  31  29   0  255.4   4.0  -2.4  0.0  0.0  0.0  14.08     0.9137    0.002  13.6   1.5 119.5   37.01   102.0      -1.0000       0.0000
2019 07 30 11 32 27    38.5    -6.5   0.932   0.3   0.1   0.0  31.4  26.7   0.0 106  94   0  33  32  29   0  255.3   4.0  -2.4  0.0  0.0  0.0  14.08     0.9121    0.002  13.6   1.5 119.5   39.04    99.6      -1.0000       0.0000
2019 07 30 11 34 27    37.4    -7.4   0.935   0.3   0.1   0.0  31.0  26.2   0.0 105  93   0  33  32  29   0  255.4   4.0  -2.4  0.0  0.0  0.0  14.08     0.9121    0.002  13.6   1.5 119.5   38.13   101.2      -1.0000       0.0000
2019 07 30 11 36 27    37.1    -7.5   0.932   0.3   0.1   0.0  31.0  26.2   0.0 105  93   0  33  32  29   0  255.5   4.0  -2.4  0.0  0.0  0.0  14.08     0.9109    0.002  13.2   1.5 119.5   37.85   101.4      -1.0000       0.0000
2019 07 30 11 38 27    36.9    -6.9   0.933   0.3   0.1   0.0  31.0  26.2   0.0 105  93   0  33  32  29   0  255.4   4.0  -2.4  0.0  0.0  0.0  14.08     0.9113    0.003  13.2   1.5 119.5   37.54   100.6      -1.0000       0.0000
2019 07 30 11 40 27    36.9    -6.6   0.932   0.3   0.1   0.0  31.4  26.2   0.0 105  93   0  32  32  29   0  255.5   4.0  -2.4  0.0  0.0  0.0  14.08     0.9121    0.001  13.6   1.5 119.5   37.49   100.1      -1.0000       0.0000
2019 07 30 11 42 27    36.9    -7.4   0.933   0.3   0.1   0.0  31.4  26.7   0.0 105  93   0  32  31  29   0  255.4   4.0  -2.4  0.0  0.0  0.0  14.09     0.9113    0.002  13.4   1.5 119.5   37.63   101.3      -1.0000       0.0000
2019 07 30 11 44 27    36.4    -7.5   0.932   0.3   0.1   0.0  31.0  26.2   0.0 105  92   0  33  31  29   0  255.4   4.0  -2.4  0.0  0.0  0.0  14.09     0.9113    0.002  13.0   1.5 119.5   37.16   101.6      -1.0000       0.0000
2019 07 30 11 46 27    35.4    -6.8   0.933   0.3   0.1   0.0  31.0  26.7   0.0 105  93   0  33  31  29   0  255.4   4.0  -2.4  0.0  0.0  0.0  14.09     0.9101    0.003  13.4   1.5 119.5   36.05   100.9      -1.0000       0.0000
2019 07 30 11 48 27    36.2    -7.9   0.933   0.3   0.1   0.0  31.4  26.2   0.0 106  93   0  33  32  29   0  255.4   4.0  -2.4  0.0  0.0  0.0  14.09     0.9101    0.003  13.8   1.5 119.5   37.05   102.3      -1.0000       0.0000
2019 07 30 11 50 27    36.2    -7.5   0.936   0.3   0.1   0.0  31.0  26.7   0.0 105  93   0  33  31  28   0  255.4   4.0  -2.4  0.0  0.0  0.0  14.09     0.9117    0.002  13.8   1.5 119.5   36.97   101.7      -1.0000       0.0000
2019 07 30 11 52 27    35.7    -7.7   0.931   0.3   0.1   0.0  31.8  26.7   0.0 106  93   0  32  31  29   0  255.4   4.0  -2.4  0.0  0.0  0.0  14.09     0.9082    0.003  13.6   1.5 119.5   36.52   102.2      -1.0000       0.0000
2019 07 30 11 54 27    37.7    -6.8   0.931   0.3   0.1   0.0  31.0  26.2   0.0 105  93   0  33  32  29   0  255.4   4.0  -2.4  0.0  0.0  0.0  14.09     0.9070    0.002  13.4   1.5 119.5   38.31   100.2      -1.0000       0.0000
2019 07 30 11 56 27    36.2    -7.5   0.932   0.3   0.1   0.0  30.5  25.8   0.0 104  92   0  33  32  29   0  255.5   4.0  -2.4  0.0  0.0  0.0  14.09     0.9097    0.003  13.0   1.5 119.5   36.97   101.7      -1.0000       0.0000
2019 07 30 11 58 27    36.6    -7.7   0.933   0.3   0.1   0.0  31.0  27.1   0.0 105  94   0  33  31  29   0  255.4   4.0  -2.4  0.0  0.0  0.0  14.09     0.9105    0.003  13.8   1.5 119.5   37.40   101.9      -1.0000       0.0000
2019 07 30 12 00 27    36.0    -8.1   0.935   0.3   0.1   0.0  31.4  26.7   0.0 105  93   0  32  31  29   0  255.3   4.0  -2.4  0.0  0.0  0.0  14.09     0.9109    0.002  13.6   1.5 119.5   36.90   102.7      -1.0000       0.0000
