2019 09 17 23 04 01     0.4     0.8  -1.000   0.2   0.0   0.0  18.9  26.7   0.0  78  94   0  34  32  37   0  265.4 -10.0 -24.0  0.0  0.0  0.0  16.72     1.2344    0.002  12.4   1.5  44.5    0.89    26.6      -1.0000       0.0000
2019 09 17 23 19 01     0.9     0.9   1.149   0.2   0.0   0.0  18.5  26.2   0.0  77  93   0  34  32  37   0  265.6 -10.0 -24.0  0.0  0.0  0.0  16.72     1.2344    0.003  12.4   1.5  46.5    1.27    45.0      -1.0000       0.0000
2019 09 17 23 34 01     0.4     1.3  -1.000   0.2   0.0   0.0  18.5  25.8   0.0  76  91   0  33  31  36   0  265.6 -10.0 -24.0  0.0  0.0  0.0  16.72     1.2312    0.003  12.4   1.5  47.0    1.36    17.1      -1.0000       0.0000
2019 09 17 23 49 01     0.2     0.7  -1.000   0.2   0.0   0.0  18.5  25.8   0.0  76  92   0  33  32  36   0  265.4 -10.0 -24.0  0.0  0.0  0.0  16.72     1.2340    0.003  12.4   1.5  47.0    0.73    15.9      -1.0000       0.0000
2019 09 18 00 04 01     2.2     0.5   1.144   0.2   0.0   0.0  18.1  26.2   0.0  75  92   0  33  31  36   0  265.7 -10.0 -24.0  0.0  0.0  0.0  16.72     1.2360    0.003  12.4   1.5  47.5    2.26    77.2      -1.0000       0.0000
2019 09 18 00 19 01     0.9     0.9  -1.000   0.2   0.0   0.0  18.5  25.8   0.0  75  91   0  32  31  25   0  265.6 -10.0 -24.0  0.0  0.0  0.0  16.71     1.2364    0.003  12.4   1.5  48.0    1.27    45.0      -1.0000       0.0000
2019 09 18 00 34 01     0.9    -0.5   1.147   0.3   0.1   0.0  18.5  27.1   0.0  76  94   0  33  31  25   0  265.4 -10.0 -24.0  0.0  0.0  0.0  16.71     1.2411    0.003  12.4   1.5  43.5    1.03   119.1      -1.0000       0.0000
2019 09 18 00 49 01     1.8     0.4   1.143   0.2   0.0   0.0  18.1  26.2   0.0  75  91   0  33  30  25   0  265.8 -10.0 -24.0  0.0  0.0  0.0  16.71     1.2407    0.002  12.4   1.5  48.0    1.84    77.5      -1.0000       0.0000
2019 09 18 01 04 01     3.0     0.5   1.142   0.2   0.0   0.0  18.5  26.2   0.0  74  91   0  31  30  25   0  265.8 -10.0 -24.0  0.0  0.0  0.0  16.71     1.2407    0.002  12.4   1.5  48.5    3.04    80.5      -1.0000       0.0000
2019 09 18 01 19 01     3.5     0.5   1.142   0.2   0.0   0.0  18.5  27.1   0.0  76  93   0  33  30  25   0  265.7 -10.0 -24.0  0.0  0.0  0.0  16.70     1.2431    0.003  12.4   1.5  46.0    3.54    81.9      -1.0000       0.0000
